,Ticker,Sector,Sub-Sector,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
95,O,Financial , REIT - Retail , USA,S&P; 500,49.49,1.16,0.20%,287.61M,0.80%,16.57B,43.48,1.33,-12.64%,283.68M,5.28%,328.30M,6.35,0.33,70.90%,6.68%,11.00%,1.26B,13.10,-2.50%,-0.25%,10.23,19.77%,26.24,2.20,3.76%,2.30%,56.96,1.12%,0.11,539.71,7.80%,4.50%,47.25 - 60.05,1.03%,2.64,-,8.50%,2.10%,-4.06%,0.09,4.58%,-,20.20%,94.70%,21.93%,0.71,165,-,9.60%,23.50%,66.15,0.98% 1.33%,Yes,0.88,13.70%,26.00%,0.67,57.08,Yes,0.88,Aug 01 AMC,221.20%,1.85M,57.61,2.60,2.49%,4.96%,7.97%,"1,247,266",0.93%
96,RF,Financial , Regional - Southeast Banks , USA,S&P; 500,15.52,1.23,0.30%,1.14B,-1.55%,21.69B,12.08,1.58,-18.00%,1.11B,8.11%,1.42B,1.72,0.36,78.30%,1.66%,-1.19%,4.16B,5.22,19.00%,-0.07%,1.66,-1.55%,13.37,1.43,11.20%,1.10%,20.25,31.70%,3.77,5.06,9.00%,9.00%,13.02 - 20.21,10.36%,0.56,17.02,6.40%,14.60%,-5.64%,1.27,2.94%,-,0.40%,-,46.41%,0.36,21714,-,8.80%,87.00%,56.59,1.44% 1.95%,Yes,0.32,29.70%,33.00%,0.92,19.20,Yes,0.32,Jul 20 BMO,26.20%,11.10M,19.07,2.60,1.95%,3.38%,4.72%,"10,193,845",-0.68%
97,ROK,Industrial Goods , Diversified Machinery , USA,S&P; 500,25.06,6.85,0.20%,125.97M,-3.11%,21.63B,19.18,8.95,-11.35%,122.35M,1.41%,877.60M,2.06,2.01,77.90%,3.01%,-4.64%,6.60B,3.27,14.20%,0.02%,3.15,-8.23%,11.61,14.79,11.65%,5.90%,181.87,4.61%,11.82,14.53,12.17%,19.20%,155.81 - 210.72,-12.56%,3.68,43.65,4.40%,18.30%,-18.52%,1.25,2.14%,1.60,0.20%,42.20%,10.19%,3.42,22000,1.90,6.20%,17.00%,41.99,1.43% 1.94%,Yes,0.85,-8.90%,6.00%,0.68,172.38,Yes,0.85,Jul 25 BMO,106.70%,1.17M,171.69,3.00,-3.25%,-1.28%,-6.19%,"793,457",-0.40%
98,RCL,Services , Resorts & Casinos , USA,S&P; 500,14.22,8.05,0.90%,207.00M,3.04%,23.70B,11.39,10.05,-6.07%,171.07M,4.68%,1.73B,1.09,3.96,72.10%,1.72%,6.00%,8.94B,2.65,27.00%,-2.79%,1.50,-12.30%,50.90,2.25,12.67%,7.50%,141.17,-5.96%,0.53,217.39,13.00%,16.20%,101.20 - 135.65,-4.03%,2.40,152.58,146.20%,9.70%,-15.61%,1.16,2.10%,0.20,2.70%,44.60%,13.11%,2.83,66000,0.20,6.50%,19.90%,54.77,2.15% 2.47%,Yes,0.76,28.30%,19.30%,0.66,116.39,Yes,0.66,Aug 02 BMO,29.70%,1.96M,114.47,1.80,2.15%,4.76%,-3.04%,"1,288,583",-1.65%
99,SCG,Utilities , Electric Utilities , USA,S&P; 500,-,-1.43,5.21%,145.59M,-4.03%,5.41B,12.88,2.89,0.00%,135.75M,-4.94%,-204.00M,-,0.70,69.50%,3.72%,8.05%,4.26B,1.27,-114.90%,-0.89%,3.24,1.89%,37.32,1.00,-8.61%,-1.20%,39.06,-39.84%,1.63,22.74,4.00%,-4.30%,33.61 - 62.22,-6.56%,2.45,-,-17.10%,1.80%,-40.26%,0.15,6.59%,0.60,1.10%,70.10%,10.59%,1.11,5228,0.80,-15.80%,-4.60%,37.96,2.00% 2.72%,Yes,1.35,-93.40%,-5.50%,0.86,37.20,Yes,1.14,Aug 02 BMO,-,1.56M,37.17,3.20,-6.71%,-4.00%,-5.84%,"1,338,880",-0.08%
100,SRE,Utilities , Diversified Utilities , USA,S&P; 500,124.81,0.92,0.10%,265.59M,-0.54%,30.40B,18.81,6.08,-17.36%,263.79M,-1.00%,212.00M,14.77,1.14,91.60%,8.39%,10.75%,11.13B,2.73,-18.20%,-0.81%,9.30,8.51%,53.16,2.15,11.84%,-1.20%,124.00,-2.01%,0.95,120.62,8.45%,-4.90%,100.49 - 122.97,7.04%,3.58,-,5.10%,4.80%,-6.93%,0.41,3.13%,0.50,3.00%,99.30%,13.90%,1.84,16046,0.60,1.90%,4.90%,48.21,1.21% 1.61%,Yes,1.85,-304.90%,-5.90%,0.70,114.24,Yes,1.51,Aug 06 BMO,-,2.38M,114.45,2.10,-0.51%,0.31%,2.65%,"1,656,724",0.18%
101,SLG,Financial , REIT - Retail , USA,S&P; 500,34.62,3.00,0.36%,89.55M,-1.34%,9.29B,64.38,1.61,-19.97%,10.34M,3.50%,272.20M,-,0.41,-,35.29%,9.04%,1.34B,6.94,-62.60%,2.42%,4.56,10.59%,68.47,1.51,-37.41%,1.90%,111.33,4.27%,3.21,32.34,-10.84%,4.40%,89.46 - 106.35,2.76%,3.25,303.53,-7.90%,3.70%,-2.47%,1.12,3.13%,-,3.20%,61.80%,15.94%,1.33,1065,-,-24.40%,31.20%,55.66,0.91% 1.45%,Yes,0.99,643.70%,20.30%,0.51,103.29,Yes,0.99,Jul 18 AMC,105.80%,800.63K,103.72,2.30,1.13%,2.51%,5.14%,"410,899",0.42%
102,SWK,Industrial Goods , Machine Tools & Accessories , USA,S&P; 500,19.86,6.97,0.30%,157.41M,-3.41%,21.78B,14.73,9.39,-0.62%,151.90M,1.95%,1.07B,1.83,2.04,85.40%,2.48%,-2.16%,13.57B,1.61,25.80%,-1.32%,2.81,-13.13%,49.65,2.79,12.04%,5.20%,177.43,-0.77%,2.45,56.45,10.83%,13.60%,130.56 - 176.62,-18.47%,2.64,44.36,24.40%,11.30%,-21.67%,1.05,1.91%,0.50,4.90%,36.70%,5.97%,2.86,57765,0.90,10.90%,10.30%,43.47,1.77% 2.08%,Yes,0.54,5.60%,7.50%,0.71,137.99,Yes,0.38,Jul 20 BMO,37.10%,1.34M,138.35,2.20,-2.88%,-0.79%,-9.99%,"957,147",0.26%
103,SYK,Healthcare , Medical Appliances & Equipment , USA,S&P; 500,33.01,5.05,0.30%,374.62M,0.37%,62.48B,21.00,7.94,-10.84%,344.43M,-5.30%,1.91B,3.30,1.68,76.10%,1.11%,-2.90%,13.04B,4.79,12.00%,-0.68%,2.74,6.75%,25.30,6.59,9.56%,4.90%,183.80,13.12%,5.13,32.54,10.00%,11.10%,137.70 - 179.84,7.71%,1.88,145.98,7.50%,12.10%,-7.26%,0.59,1.13%,1.20,7.50%,66.20%,21.12%,2.39,33000,1.80,10.30%,19.20%,45.21,1.18% 1.58%,Yes,0.76,15.50%,8.30%,0.49,166.21,Yes,0.63,Jul 24 AMC,62.00%,1.39M,166.78,2.00,-0.92%,-2.14%,2.09%,"677,237",0.34%
104,SYF,Financial , Credit Services , USA,S&P; 500,9.49,3.15,0.20%,756.80M,-0.63%,22.60B,6.61,4.51,-1.77%,740.23M,-9.02%,2.44B,0.55,0.81,98.00%,1.38%,-13.67%,16.94B,1.33,-3.20%,-0.38%,1.73,-18.64%,19.22,1.55,30.84%,2.40%,43.60,-3.65%,20.71,1.44,17.17%,15.80%,28.33 - 40.59,-22.66%,0.84,2.51,0.50%,24.20%,-26.44%,1.01,2.81%,-,9.70%,-,5.41%,0.80,16000,-,5.10%,59.40%,38.60,1.64% 2.85%,Yes,1.50,49.40%,13.40%,1.69,30.01,Yes,1.50,Jul 27 BMO,22.30%,5.89M,29.86,2.00,-3.01%,-9.11%,-14.70%,"9,945,916",-0.50%
105,TTWO,Technology , Multimedia & Graphics Software , USA,S&P; 500,75.92,1.66,0.40%,112.94M,0.80%,14.22B,25.12,5.01,-57.40%,112.50M,-0.58%,197.20M,2.77,0.86,95.60%,2.19%,11.39%,1.76B,8.07,129.60%,-1.61%,1.22,18.20%,16.40,7.68,10.27%,-,137.20,38.93%,9.76,12.90,27.37%,-,89.87 - 131.77,14.73%,-,-,45.50%,12.30%,-4.42%,0.91,-,1.50,8.10%,52.60%,40.15%,4.20,4492,1.50,-7.20%,-,54.59,2.98% 3.23%,Yes,0.00,12.80%,-,1.12,129.09,Yes,0.00,Aug 02 AMC,-,2.02M,125.95,1.90,2.26%,4.40%,11.88%,"2,267,424",-2.43%
106,FTI,Basic Materials , Oil & Gas Equipment & Services , USA,S&P; 500,37.30,0.74,0.60%,473.27M,-10.24%,13.06B,17.85,1.55,-1.57%,459.37M,-9.98%,345.20M,2.56,0.38,78.30%,2.10%,-16.82%,13.91B,0.94,-80.30%,1.58%,2.70,-8.49%,28.14,0.98,16.42%,0.60%,36.27,5.71%,11.74,2.35,14.57%,1.30%,24.53 - 35.00,-11.85%,0.52,-,-,3.50%,-21.14%,-,1.88%,1.10,-,18.50%,12.52%,0.91,37000,1.30,-23.00%,6.60%,29.32,2.85% 2.41%,Yes,0.30,-35.20%,1.20%,1.26,28.89,Yes,0.29,Jul 25 AMC,143.30%,3.58M,27.60,2.20,-10.48%,-11.64%,-10.29%,"4,504,747",-4.47%
107,CLX,Consumer Goods , Housewares & Accessories , USA,S&P; 500,25.74,5.63,0.11%,130.11M,2.92%,18.86B,21.15,6.86,-5.98%,129.38M,7.37%,742.00M,3.45,1.57,78.10%,8.59%,22.46%,6.12B,3.08,8.60%,0.33%,8.09,12.55%,6.45,22.48,6.74%,16.50%,134.07,6.36%,9.02,16.07,7.46%,116.90%,113.57 - 150.40,-2.53%,3.84,64.16,5.40%,25.70%,-3.61%,0.32,2.65%,0.90,1.80%,43.70%,27.65%,2.74,8100,1.20,2.70%,17.10%,71.58,1.44% 2.03%,Yes,3.41,4.80%,13.00%,1.11,141.84,Yes,2.14,Aug 02 BMO,53.10%,1.37M,144.97,3.10,6.38%,9.30%,9.82%,"1,522,738",2.21%
108,TRV,Financial , Property & Casualty Insurance , USA,DJIA S&P500;,16.41,7.85,0.30%,268.39M,-0.34%,34.56B,11.39,11.31,-16.58%,266.45M,-0.02%,2.15B,0.94,2.29,81.80%,1.47%,-1.06%,29.55B,1.17,-24.20%,-0.08%,2.80,-8.41%,84.19,1.53,14.51%,1.90%,139.06,-0.22%,1.55,83.28,17.39%,8.70%,113.76 - 150.55,-5.06%,3.08,11.89,4.30%,8.40%,-14.47%,1.29,2.39%,-,2.40%,-,13.19%,1.79,30800,-,4.00%,10.00%,51.70,1.30% 1.44%,Yes,0.29,-9.00%,6.80%,0.90,127.54,Yes,0.26,Jul 19 BMO,38.60%,1.40M,128.77,2.70,0.32%,1.36%,-3.64%,"1,260,964",0.96%
109,TSCO,Services ," Specialty Retail, Other ", USA,S&P; 500,20.67,3.89,0.20%,123.36M,-1.03%,9.92B,17.56,4.58,-12.75%,121.64M,1.91%,485.30M,1.52,0.86,82.10%,4.53%,13.27%,7.57B,1.31,2.10%,-1.77%,3.64,18.28%,11.52,6.98,9.28%,15.90%,83.00,52.94%,0.57,141.74,13.64%,34.90%,51.85 - 82.68,7.60%,1.24,37.01,11.90%,23.50%,-2.72%,1.38,1.54%,0.20,9.20%,34.40%,55.12%,1.78,14000,1.90,9.70%,9.20%,55.97,1.91% 2.46%,Yes,0.41,35.30%,6.30%,0.89,81.48,Yes,0.39,Jul 26 BMO,28.90%,1.51M,80.43,2.40,1.59%,3.54%,14.56%,"1,342,526",-1.29%
110,FOX,Services , Entertainment - Diversified , USA,S&P; 500,20.71,2.16,38.95%,-,-0.36%,-,-,-,-,1.22B,-3.01%,-,1.99,-,54.81%,0.64%,18.80%,29.21B,-,-,-,1.62,23.83%,10.24,4.37,-,-,45.00,63.27%,-,-,10.40%,-,24.30 - 49.65,31.30%,0.36,-,-,-,-9.77%,-,0.80%,-,-,-,84.36%,0.62,21700,-,-1.90%,-,46.20,1.06% 1.20%,Yes,-,7.40%,-,0.88,44.97,Yes,-,Aug 15 AMC,-,4.86M,44.80,1.00,-0.59%,-1.37%,19.49%,"4,270,136",-0.38%
111,ULTA,Services ," Specialty Retail, Other ", USA,S&P; 500,22.64,10.25,1.20%,60.05M,-1.70%,13.93B,18.14,12.79,-16.05%,57.00M,-8.34%,629.70M,1.07,2.41,95.20%,3.39%,-7.95%,6.11B,2.28,46.90%,2.16%,2.14,12.20%,29.42,7.89,16.93%,20.60%,270.00,-2.39%,7.81,29.70,21.12%,34.70%,187.96 - 261.40,3.72%,-,31.47,29.00%,33.40%,-11.25%,0.71,-,0.90,21.50%,35.70%,23.42%,5.71,13700,2.40,17.40%,13.20%,36.48,2.51% 2.39%,Yes,0.00,31.80%,9.70%,1.17,236.02,Yes,0.00,Aug 30 AMC,0.00%,903.10K,231.98,2.10,-4.75%,-5.66%,1.68%,"1,053,236",-1.71%
112,UAL,Services , Major Airlines , USA,S&P; 500,12.70,6.45,0.30%,276.17M,-1.11%,22.61B,8.53,9.60,12.80%,271.51M,12.74%,1.86B,0.68,2.92,-,4.92%,17.39%,39.13B,0.58,-13.70%,-0.43%,4.04,24.65%,31.45,2.60,17.87%,4.70%,91.15,22.27%,18.36,4.46,18.74%,23.60%,56.51 - 83.66,21.47%,-,14.80,37.60%,10.50%,-2.14%,0.72,-,0.60,0.30%,23.60%,44.88%,1.69,91400,0.60,7.70%,8.30%,61.89,1.83% 2.00%,Yes,1.68,-7.00%,5.20%,0.77,81.44,Yes,1.56,Jul 17 AMC,0.00%,3.31M,81.87,2.20,1.03%,8.67%,18.84%,"2,542,270",0.53%
113,UTX,Industrial Goods , Aerospace/Defense Products & Services , USA,DJIA S&P500;,18.12,7.27,0.08%,809.77M,-2.20%,106.69B,16.83,7.83,-5.77%,799.47M,0.80%,5.81B,2.07,1.82,83.60%,2.23%,5.59%,62.69B,1.70,7.00%,-0.49%,4.90,3.99%,39.68,3.32,8.18%,5.20%,151.65,13.62%,13.67,9.64,8.75%,16.70%,109.10 - 139.24,3.28%,2.80,179.91,4.20%,11.40%,-5.38%,1.03,2.13%,1.10,0.70%,26.10%,20.76%,1.96,205000,1.50,9.30%,14.20%,48.11,1.42% 1.44%,Yes,0.90,42.20%,8.10%,1.25,132.42,Yes,0.87,Jul 24 BMO,43.60%,3.64M,131.75,2.10,-1.23%,2.00%,3.85%,"4,555,969",-0.51%
114,VLO,Basic Materials , Oil & Gas Refining & Marketing , USA,S&P; 500,18.26,6.11,0.20%,433.00M,-3.78%,48.29B,10.81,10.31,-9.18%,430.13M,5.12%,2.66B,0.44,1.87,82.70%,2.05%,-3.02%,107.41B,0.45,0.50%,-0.97%,2.71,20.39%,50.74,2.20,55.01%,9.10%,132.33,66.08%,10.28,10.85,41.08%,21.00%,64.22 - 126.98,21.34%,3.20,23.35,-2.40%,8.70%,-12.18%,0.99,2.87%,1.10,-7.40%,9.40%,73.65%,2.24,10015,1.70,39.40%,4.00%,42.69,1.72% 2.01%,Yes,0.42,59.70%,4.20%,1.05,115.05,Yes,0.41,Jul 26 BMO,28.80%,3.25M,111.52,2.10,-1.61%,-1.24%,11.25%,"3,398,947",-3.07%
115,VRSK,Services , Business Services , USA,S&P; 500,37.68,3.10,0.90%,164.45M,0.43%,19.22B,25.88,4.52,-39.27%,155.72M,3.90%,522.70M,2.67,1.07,93.60%,2.42%,11.65%,2.30B,8.35,4.70%,-0.52%,4.99,20.96%,12.57,9.30,8.64%,10.20%,120.86,43.59%,0.83,141.54,14.10%,31.20%,78.97 - 118.13,21.75%,-,30.15,8.40%,11.70%,-1.06%,0.65,-,0.40,8.80%,63.00%,48.01%,1.70,7079,0.40,14.90%,35.80%,62.65,1.25% 1.59%,Yes,1.34,26.60%,26.60%,0.90,117.76,Yes,0.99,Jul 31 AMC,0.00%,754.34K,116.88,2.30,2.47%,5.05%,13.99%,"676,841",-0.75%
116,V,Financial , Credit Services , USA,DJIA S&P500;,38.59,3.63,0.12%,2.24B,-0.54%,313.45B,26.28,5.33,-2.97%,401.28M,0.20%,8.16B,2.03,1.20,94.50%,7.74%,6.90%,20.03B,15.65,12.70%,-0.05%,4.23,15.80%,12.46,11.23,15.94%,13.60%,157.62,36.33%,5.31,26.34,18.99%,33.20%,101.94 - 143.14,22.72%,0.84,33.19,28.80%,15.70%,-2.25%,1.07,0.60%,1.70,12.00%,-,37.26%,1.87,15000,1.70,14.80%,63.70%,52.46,1.03% 1.41%,Yes,0.60,16.20%,46.20%,0.72,140.76,Yes,0.60,Jul 25 AMC,19.00%,7.34M,139.92,1.80,-0.04%,2.18%,12.64%,"5,287,929",-0.60%
117,WBA,Services , Drug Stores , USA,DJIA S&P500;,15.92,4.32,14.86%,992.41M,3.37%,68.21B,10.66,6.45,1.16%,844.93M,4.72%,4.36B,1.37,1.45,63.40%,3.86%,4.55%,128.24B,0.53,-1.10%,1.87%,4.35,0.35%,27.96,2.46,7.82%,6.30%,71.05,-15.28%,1.83,37.52,11.64%,15.90%,59.07 - 83.89,-5.36%,1.76,16.27,9.40%,11.90%,-18.07%,1.08,2.56%,0.50,10.50%,23.80%,16.35%,1.26,235000,0.90,14.00%,4.60%,62.26,1.80% 1.87%,Yes,0.54,12.50%,3.40%,0.79,68.66,Yes,0.45,Jun 28 BMO,36.70%,7.50M,68.73,2.70,2.89%,5.37%,0.96%,"5,944,335",0.10%
118,WFC,Financial , Money Center Banks , USA,S&P; 500,16.67,3.48,77.80%,4.97B,-2.03%,288.13B,11.16,5.20,0.00%,4.83B,2.53%,17.20B,1.74,1.18,79.60%,0.69%,5.36%,61.33B,4.70,-9.40%,0.60%,1.78,-2.62%,36.88,1.57,20.03%,1.00%,62.02,9.73%,73.81,0.79,9.60%,10.90%,49.27 - 66.31,-4.42%,1.72,17.30,1.50%,9.80%,-12.55%,1.11,2.97%,-,4.00%,-,17.70%,0.90,264500,-,9.00%,77.50%,53.42,1.14% 1.49%,Yes,1.22,-9.60%,32.00%,0.93,58.07,Yes,1.22,Jul 13 BMO,39.00%,18.61M,57.99,2.50,-0.06%,2.90%,2.22%,"17,377,742",-0.14%
119,WRK,Consumer Goods , Packaging & Containers , USA,S&P; 500,20.15,2.73,0.70%,261.91M,-2.15%,14.39B,11.98,4.59,-17.98%,253.48M,-4.07%,708.10M,0.87,1.28,89.80%,0.90%,-11.20%,16.11B,0.89,374.10%,-0.23%,1.35,-14.53%,44.49,1.24,12.65%,7.20%,72.23,-2.40%,1.73,31.80,23.10%,16.30%,52.78 - 71.55,-13.05%,1.72,21.73,10.00%,4.00%,-23.19%,-,3.13%,0.90,10.00%,20.10%,4.13%,1.16,44800,1.60,12.00%,7.00%,39.26,1.84% 1.98%,Yes,0.57,-18.70%,11.30%,0.93,55.90,Yes,0.52,Aug 02 BMO,23.70%,1.68M,54.96,2.10,-2.84%,-4.86%,-11.46%,"1,555,944",-1.68%
120,WLTW,Financial , Insurance Brokers , United Kingdom,S&P; 500,36.88,4.02,0.10%,133.42M,-2.19%,19.77B,13.71,10.81,-12.39%,130.26M,-5.77%,534.00M,3.01,1.14,94.80%,1.14%,-3.29%,8.21B,2.41,54.10%,-0.14%,2.78,-6.94%,77.48,1.91,12.79%,1.40%,173.94,-1.77%,6.83,21.70,12.23%,4.50%,142.67 - 165.00,-1.65%,2.40,76.34,21.90%,6.20%,-10.18%,0.94,1.62%,1.10,18.70%,-,3.88%,2.94,43000,1.10,1.90%,5.80%,36.47,1.74% 1.80%,Yes,0.46,81.00%,5.70%,0.93,147.13,Yes,0.45,Aug 02 BMO,62.40%,532.92K,148.20,2.30,-4.58%,-4.48%,-4.64%,"495,058",0.73%
121,XRX,Technology , Information Technology Services , USA,S&P; 500,13.49,1.94,0.20%,258.12M,-1.47%,6.75B,7.40,3.53,6.92%,245.95M,4.60%,501.00M,-,0.78,89.20%,2.13%,-8.41%,10.19B,0.66,-4.50%,0.77%,2.20,-12.22%,21.09,1.24,5.81%,0.70%,-,-18.99%,4.89,5.34,-,2.00%,23.52 - 37.42,-10.29%,1.00,-,-7.90%,5.70%,-30.12%,1.28,3.82%,1.50,-12.90%,39.70%,11.18%,0.50,34300,1.80,-2.20%,7.60%,52.12,1.70% 2.05%,Yes,0.97,-31.80%,1.10%,0.80,26.15,Yes,0.90,Jul 26 BMO,231.60%,2.39M,26.15,-,1.64%,0.97%,-9.22%,"1,904,226",0.00%
122,YUM,Services , Restaurants , USA,S&P; 500,14.19,5.84,0.10%,324.00M,1.16%,26.85B,21.72,3.82,-15.99%,321.67M,5.27%,2.01B,1.12,0.83,78.40%,1.47%,-0.84%,5.75B,4.67,96.40%,0.83%,2.30,6.41%,-22.37,-,8.78%,-,88.50,8.48%,0.97,85.78,12.70%,-,72.61 - 88.07,1.54%,1.44,-,8.20%,65.20%,-5.90%,0.83,1.74%,-,-15.50%,58.10%,14.13%,1.15,60000,1.30,-5.50%,-,62.66,1.41% 1.52%,Yes,-,47.50%,-,0.74,83.09,Yes,-,Aug 02 BMO,-,2.05M,82.87,2.20,3.08%,3.08%,1.30%,"1,529,066",-0.26%
0,MMM,Industrial Goods , Diversified Machinery , USA,DJIA S&P500;,22.79,8.84,7.74%,601.66M,-2.78%,121.17B,17.92,11.24,-0.02%,585.70M,-0.34%,5.39B,2.35,2.74,69.40%,1.26%,0.59%,32.83B,3.69,12.40%,0.86%,3.11,-13.19%,17.53,11.49,8.73%,11.90%,209.85,-2.79%,5.30,38.03,9.70%,39.20%,190.57 - 259.77,-14.44%,5.44,102.08,7.70%,23.50%,-22.47%,1.16,2.70%,1.10,1.10%,49.50%,5.68%,3.57,91536,1.60,7.40%,22.40%,44.89,1.62% 1.87%,Yes,1.40,19.00%,13.40%,0.86,200.52,Yes,1.09,Jul 24 BMO,68.30%,2.36M,201.39,2.90,-1.57%,-0.26%,-8.69%,"2,028,852",0.43%
1,ACN,Technology , Information Technology Services , Ireland,S&P; 500,24.17,6.64,0.20%,675.95M,-0.45%,108.43B,22.03,7.28,-6.99%,671.95M,-4.56%,4.22B,2.37,1.56,73.00%,1.18%,4.11%,40.60B,2.67,-15.60%,0.39%,3.66,0.39%,15.33,10.46,8.36%,17.20%,171.88,23.98%,5.82,27.58,10.20%,42.20%,127.26 - 168.95,4.78%,2.66,30.81,7.20%,40.70%,-5.05%,0.93,1.66%,1.30,4.30%,29.80%,26.05%,1.85,425000,1.30,15.80%,14.00%,41.86,1.01% 1.23%,Yes,0.00,70.30%,9.80%,0.73,161.24,Yes,0.00,Jun 28 BMO,39.90%,2.16M,160.41,2.30,-1.28%,-1.48%,2.82%,"1,575,582",-0.51%
2,AAP,Services , Auto Parts Stores , USA,S&P; 500,30.37,5.20,0.40%,74.06M,7.94%,11.70B,20.44,7.73,2.26%,73.82M,12.65%,385.80M,2.17,1.85,-,4.45%,32.76%,9.36B,1.25,-27.80%,0.19%,3.23,44.96%,47.94,3.30,13.36%,5.90%,135.13,81.48%,8.63,18.31,14.00%,15.10%,78.81 - 159.50,58.52%,0.24,21.56,-3.00%,8.60%,-0.92%,1.13,0.15%,0.40,8.60%,43.70%,100.52%,3.56,40000,1.60,-0.60%,6.30%,75.90,2.49% 2.10%,Yes,0.00,49.90%,5.40%,1.48,156.13,Yes,0.29,Aug 14 BMO,3.50%,1.02M,158.03,2.40,9.97%,13.51%,36.03%,"1,503,096",1.22%
3,AMG,Financial , Asset Management , USA,S&P; 500,16.04,9.07,0.70%,54.71M,-4.14%,7.96B,8.32,17.48,-7.71%,48.84M,-2.06%,511.10M,1.52,3.45,96.90%,1.76%,-13.09%,2.40B,3.31,-2.80%,0.21%,1.71,-23.24%,67.39,2.16,12.97%,8.40%,191.88,-18.71%,7.18,20.26,10.56%,19.70%,145.00 - 216.99,-29.14%,1.20,6.48,20.50%,9.30%,-32.98%,1.54,0.83%,-,5.00%,-,0.30%,3.54,4400,-,5.10%,35.00%,37.51,1.98% 2.37%,Yes,0.52,-2.70%,30.30%,1.88,146.63,Yes,0.52,Jul 30 BMO,7.50%,504.63K,145.43,1.70,-4.32%,-5.04%,-18.36%,"946,379",-0.82%
4,AKAM,Technology , Internet Information Providers , USA,S&P; 500,60.81,1.18,0.70%,175.11M,-6.43%,12.55B,18.87,3.80,-15.66%,166.84M,-8.83%,202.40M,3.69,0.83,91.10%,5.02%,-3.89%,2.62B,4.80,-21.10%,1.77%,3.73,7.21%,20.24,3.54,13.54%,3.60%,80.23,54.70%,10.60,6.76,16.47%,5.20%,44.65 - 83.08,10.22%,-,20.74,4.70%,6.10%,-13.71%,0.51,-,2.20,12.70%,64.60%,60.56%,1.84,7650,2.20,9.40%,9.20%,34.01,2.14% 2.35%,Yes,0.44,-23.60%,6.70%,1.08,72.20,Yes,0.25,Jul 31 AMC,0.00%,2.24M,71.69,2.40,-6.23%,-7.25%,3.62%,"2,425,767",-0.71%
5,ALXN,Healthcare , Biotechnology , USA,S&P; 500,-,-0.08,0.30%,225.60M,-4.17%,26.02B,13.55,8.51,-0.68%,221.85M,-15.45%,-15.80M,-,1.75,97.60%,2.01%,-4.69%,3.75B,6.95,23.50%,1.90%,3.28,-6.40%,39.39,2.93,17.40%,-0.70%,159.17,-14.71%,5.22,22.10,16.97%,-1.10%,102.10 - 149.34,-3.57%,-,151.79,11.10%,4.70%,-22.78%,0.90,-,2.30,25.60%,87.00%,12.95%,3.11,2525,2.70,14.60%,1.50%,28.07,1.94% 2.47%,Yes,0.37,-380.20%,-2.70%,1.33,119.68,Yes,0.33,Jul 26 BMO,-,1.36M,115.32,1.80,-10.31%,-8.81%,-3.13%,"1,806,917",-3.64%
6,ADS,Services , Business Services , USA,S&P; 500,15.60,14.78,2.90%,55.97M,0.05%,12.91B,8.97,25.71,10.63%,53.97M,2.30%,821.30M,1.32,6.30,99.00%,3.23%,9.99%,7.81B,1.65,76.40%,-0.32%,3.54,-7.77%,38.39,6.01,12.93%,3.00%,269.05,1.85%,61.63,3.74,11.86%,46.80%,192.02 - 278.33,-9.01%,2.28,5.02,14.50%,4.70%,-17.14%,1.76,0.99%,2.10,16.20%,45.80%,20.11%,5.06,20000,2.10,4.50%,22.30%,50.54,1.69% 2.15%,Yes,11.38,59.30%,11.40%,1.09,231.43,Yes,7.25,Jul 19 BMO,13.60%,492.20K,230.63,2.20,0.62%,-0.17%,0.06%,"534,090",-0.35%
7,GOOG,Technology , Internet Information Providers , USA,S&P; 500,52.45,23.16,5.75%,680.92M,-2.51%,826.89B,25.30,48.00,-0.37%,603.54M,1.30%,-,2.90,10.44,69.44%,0.48%,12.26%,123.90B,6.67,22.30%,-,1.99,13.53%,232.78,5.22,21.70%,-,1354.00,31.68%,-,-,18.09%,-,903.40 - 1273.89,16.05%,-,-,-,-,-4.67%,-,-,-,-,-,34.42%,21.58,89058,-,25.60%,-,48.30,1.39% 1.67%,Yes,-,-9.30%,-,1.25,1242.10,Yes,-,Jul 23 AMC,-,1.45M,1214.38,1.80,-1.17%,3.06%,10.72%,"1,815,408",-2.23%
